Primary Genre,Subgenre
Easy Listening,Adult contemporary music
Easy Listening,Adult standards
Easy Listening,Background music
Easy Listening,Barococo
Easy Listening,Beautiful music
Easy Listening,Chill-out
Easy Listening,Downtempo
Easy Listening,Elevator music
Easy Listening,Furniture music
Easy Listening,Light music
Easy Listening,Lounge music
Easy Listening,Middle of the road
Easy Listening,New-age music
Easy Listening,Soft rock
Electronic,2-step garage
Electronic,Acid breaks
Electronic,Acid house
Electronic,Acid techno
Electronic,Acid trance
Electronic,Acousmatic music
Electronic,African electronic dance music
Electronic,Afro house
Electronic,Afro tech
Electronic,Afro trap
Electronic,Afro/cosmic music
Electronic,Afrobeats
Electronic,Afroswing
Electronic,Aggrotech
Electronic,Algorave
Electronic,Alternative dance
Electronic,Alternative hip hop
Electronic,Alternative R&B
Electronic,Amapiano
Electronic,Ambient
Electronic,Ambient dub
Electronic,Ambient house
Electronic,Ambient industrial
Electronic,Ambient techno
Electronic,Asian Underground
Electronic,Atmospheric drum and bass
Electronic,Azonto
Electronic,Baggy
Electronic,Balearic beat
Electronic,Balearic trance
Electronic,Ballroom
Electronic,Baltimore club
Electronic,Bass house
Electronic,Bass music
Electronic,Bassline
Electronic,Berlin School
Electronic,Big beat
Electronic,Big room house
Electronic,Birmingham sound
Electronic,Bitpop
Electronic,Black MIDI
Electronic,Bleep techno
Electronic,Blog house
Electronic,Boogie
Electronic,Bouncy techno
Electronic,Brazilian bass
Electronic,Brazilian phonk
Electronic,Breakbeat
Electronic,Breakbeat hardcore
Electronic,Breakcore
Electronic,Breakstep
Electronic,Broken beat
Electronic,Brooklyn drill
Electronic,Brostep
Electronic,Budots
Electronic,Changa tuki
Electronic,Chicago hard house
Electronic,Chicago house
Electronic,Chill-out
Electronic,Chillwave
Electronic,Chiptune
Electronic,City pop
Electronic,Cloud rap
Electronic,Cold wave
Electronic,Complextro
Electronic,Contemporary R&B
Electronic,Coupé-décalé
Electronic,Crunk
Electronic,Crunkcore
Electronic,Cyber metal
Electronic,Dance-pop
Electronic,Dance-punk
Electronic,Dance-rock
Electronic,Dancehall pop
Electronic,Danger music
Electronic,Dark ambient
Electronic,Dark electro
Electronic,Dark psytrance
Electronic,Dark wave
Electronic,Darkcore
Electronic,Darkstep
Electronic,Darksynth
Electronic,Death industrial
Electronic,Deconstructed club
Electronic,Deep house
Electronic,Denpa music
Electronic,Detroit techno
Electronic,Digital hardcore
Electronic,Disco
Electronic,Disco house
Electronic,Disco polo
Electronic,Diva house
Electronic,Downtempo
Electronic,Dream trance
Electronic,Dreampunk
Electronic,Drift phonk
Electronic,Drill
Electronic,Drill 'n' bass
Electronic,Drone
Electronic,Drum and bass
Electronic,Drumfunk
Electronic,Drumstep
Electronic,Dub
Electronic,Dub poetry
Electronic,Dub techno
Electronic,Dubstep
Electronic,Dubstyle
Electronic,Dubtronica
Electronic,Dungeon synth
Electronic,Dutch house
Electronic,Early hardcore
Electronic,Electro
Electronic,Electro hop
Electronic,Electro house
Electronic,Electro swing
Electronic,Electro-disco
Electronic,Electro-industrial
Electronic,Electroacoustic music
Electronic,Electroclash
Electronic,Electrogrind
Electronic,Electronic body music (EBM)
Electronic,Electronic pop
Electronic,Electronic rock
Electronic,Electronica
Electronic,Electronicore
Electronic,Electropop
Electronic,Emo rap
Electronic,Ethereal wave
Electronic,Euphoric frenchcore
Electronic,Euphoric hardstyle
Electronic,Eurobeat
Electronic,Eurodance
Electronic,Eurodisco
Electronic,Eurohouse
Electronic,Eurotrance
Electronic,Experimental electronic
Electronic,Extratone
Electronic,Fidget house
Electronic,Flashcore
Electronic,Florida breaks
Electronic,FM synthesis
Electronic,Folktronica
Electronic,Footwork
Electronic,Free tekno
Electronic,Freestyle
Electronic,French house
Electronic,Frenchcore
Electronic,Full-on
Electronic,Funk carioca
Electronic,Funk melody
Electronic,Funk ostentação
Electronic,Funkstep
Electronic,Funktronica
Electronic,Funky house
Electronic,Future bass
Electronic,Future funk
Electronic,Future garage
Electronic,Future house
Electronic,Future rave
Electronic,Futurepop
Electronic,Gabber
Electronic,Garage house
Electronic,Ghetto house
Electronic,Ghettotech
Electronic,Glitch
Electronic,Glitch hop
Electronic,Goa trance
Electronic,Gqom
Electronic,Grime
Electronic,Grindie
Electronic,Guaracha (EDM)
Electronic,Hands up
Electronic,Happy hardcore
Electronic,Hard dance
Electronic,Hard NRG
Electronic,Hard techno
Electronic,Hard trance
Electronic,Hardbag
Electronic,Hardbass
Electronic,Hardcore (EDM)
Electronic,Hardcore breaks
Electronic,Hardstep
Electronic,Hardstyle
Electronic,Hardvapour
Electronic,Hardwave
Electronic,Harsh noise
Electronic,Hauntology
Electronic,Hi-NRG
Electronic,Hip house
Electronic,Hipster hop
Electronic,House music
Electronic,Hyperpop
Electronic,Hypnagogic pop
Electronic,Illbient
Electronic,Indietronica
Electronic,Industrial
Electronic,Industrial hardcore
Electronic,Industrial hip hop
Electronic,Industrial metal
Electronic,Industrial rock
Electronic,Industrial techno
Electronic,Instrumental hip hop
Electronic,Intelligent dance music (IDM)
Electronic,Intelligent drum and bass
Electronic,Isolationism
Electronic,Italo dance
Electronic,Italo disco
Electronic,Italo house
Electronic,J-core
Electronic,Jackin house
Electronic,Japanoise
Electronic,Jazz house
Electronic,Jazzstep
Electronic,Jerk
Electronic,Jersey club
Electronic,Juke house
Electronic,Jump-up
Electronic,Jumpstyle
Electronic,Jungle
Electronic,Jungle terror
Electronic,Jungletek
Electronic,Kawaii future bass
Electronic,Kidandali
Electronic,Kosmische musik
Electronic,Krautrock
Electronic,Kuduro
Electronic,Kwaito
Electronic,Laptronica
Electronic,Latin house
Electronic,Latin trap
Electronic,Lento violento
Electronic,Liquid funk
Electronic,Live electronic
Electronic,Lo-fi house
Electronic,Lofi hip hop
Electronic,Lowercase
Electronic,Mahraganat
Electronic,Mainstream hardcore
Electronic,Mallsoft
Electronic,Manila sound
Electronic,Martial industrial
Electronic,Melbourne bounce
Electronic,Melodic house
Electronic,Merenhouse
Electronic,Miami bass
Electronic,Microhouse
Electronic,Microsound
Electronic,Midtempo bass
Electronic,Minimal psytrance
Electronic,Minimal techno
Electronic,Minimal wave
Electronic,Moombahcore
Electronic,Moombahsoul
Electronic,Moombahton
Electronic,Mumble rap
Electronic,Musique concrète
Electronic,Mákina
Electronic,Neo soul
Electronic,Neoclassical dark wave
Electronic,Neue Deutsche Härte
Electronic,Neue Deutsche Welle
Electronic,Neurofunk
Electronic,New beat
Electronic,New jack swing
Electronic,New Jersey sound
Electronic,New rave
Electronic,New romantic
Electronic,New wave
Electronic,New-age
Electronic,Nintendocore
Electronic,Nitzhonot
Electronic,Noise music
Electronic,Nortec
Electronic,Nu jazz
Electronic,Nu skool breaks
Electronic,Nu-disco
Electronic,Nu-gaze
Electronic,Onkyokei
Electronic,Outsider house
Electronic,Philly club
Electronic,Phonk
Electronic,Plugg
Electronic,Plunderphonics
Electronic,Post-disco
Electronic,Post-dubstep
Electronic,Post-rock
Electronic,Power electronics
Electronic,Power noise
Electronic,Progressive breaks
Electronic,Progressive electronic
Electronic,Progressive house
Electronic,Progressive psytrance
Electronic,Progressive trance
Electronic,Proibidão
Electronic,Psybient
Electronic,Psychedelic breakbeat
Electronic,Psychedelic trance
Electronic,Psydub
Electronic,Pumping house
Electronic,Rabòday
Electronic,Ragga jungle
Electronic,Raggacore
Electronic,Raggatek
Electronic,Rara tech
Electronic,Rasteirinha
Electronic,Rawstyle
Electronic,Reductionism
Electronic,Reggaestep
Electronic,Riddim
Electronic,Russ music
Electronic,Sambass
Electronic,Sampledelia
Electronic,Schaffel
Electronic,Scouse house
Electronic,Sequencer music
Electronic,Shamstep
Electronic,Shangaan electro
Electronic,Skweee
Electronic,Slap house
Electronic,Snap music
Electronic,Sophisti-pop
Electronic,Soulful house
Electronic,Soundscape
Electronic,Sovietwave
Electronic,Space disco
Electronic,Space music
Electronic,Space rock
Electronic,Spacesynth
Electronic,Speed garage
Electronic,Speedcore
Electronic,Splittercore
Electronic,Stadium house
Electronic,Suomisaundi
Electronic,Synth-funk
Electronic,Synth-metal
Electronic,Synth-pop
Electronic,Synth-punk
Electronic,Synthwave
Electronic,Tech house
Electronic,Tech trance
Electronic,Techno
Electronic,Techstep
Electronic,Tecnocumbia
Electronic,Toytown techno
Electronic,Trance music
Electronic,Trap
Electronic,Trap (EDM)
Electronic,Trapstyle
Electronic,Tribal guarachero
Electronic,Tribal house
Electronic,Trip hop
Electronic,Trip rock
Electronic,Tropical house
Electronic,Trouse
Electronic,UK bass
Electronic,UK drill
Electronic,UK funky
Electronic,UK garage
Electronic,UK hard house
Electronic,UK hardcore
Electronic,UK trap
Electronic,Uplifting trance
Electronic,Vaporwave
Electronic,Video game music
Electronic,Vocal trance
Electronic,Wave
Electronic,Witch house
Electronic,Wonky
Electronic,Wonky pop
Electronic,Worldbeat
Folk,American folk revival
Folk,Americana
Folk,Anti-folk
Folk,British folk revival
Folk,Cajun music
Folk,Celtic music
Folk,Celtic rock
Folk,Chalga
Folk,Corrido
Folk,Creole music
Folk,Filk
Folk,Folk noir
Folk,Folk rock
Folk,Folktronica
Folk,Freak folk
Folk,Indie folk
Folk,Industrial folk
Folk,Mariachi
Folk,Neofolk
Folk,New Weird America
Folk,Nueva canción
Folk,Progressive folk
Folk,Protest song
Folk,Psychedelic folk
Folk,Ranchera
Folk,Singer-songwriter
Folk,Skiffle
Folk,Sung poetry
Folk,Tarantella
Folk,Traditional blues verses
Hip Hop,Alternative hip-hop
Hip Hop,Boom bap
Hip Hop,Bounce
Hip Hop,British hip-hop
Hip Hop,Brooklyn drill
Hip Hop,Chap hop
Hip Hop,Chicano rap
Hip Hop,Chopped and screwed
Hip Hop,Chopper
Hip Hop,Christian hip-hop
Hip Hop,Cloud rap
Hip Hop,Comedy hip-hop
Hip Hop,Conscious hip-hop
Hip Hop,Country rap
Hip Hop,Crunk
Hip Hop,Crunkcore
Hip Hop,Digicore
Hip Hop,Dirty rap
Hip Hop,Drill music
Hip Hop,East Coast hip-hop
Hip Hop,Electro
Hip Hop,Emo rap
Hip Hop,Experimental hip-hop
Hip Hop,Frat rap
Hip Hop,Freestyle rap
Hip Hop,Funk carioca
Hip Hop,Funk ostentação
Hip Hop,G-funk
Hip Hop,Gangsta rap
Hip Hop,Hardcore hip-hop
Hip Hop,Hip house
Hip Hop,Hip-hop soul
Hip Hop,Hipster hop
Hip Hop,Horrorcore
Hip Hop,Hyphy
Hip Hop,Industrial hip-hop
Hip Hop,Instrumental hip-hop
Hip Hop,Jazz rap
Hip Hop,Jerk
Hip Hop,Jerkin'
Hip Hop,Jewish hip-hop
Hip Hop,Krushclub
Hip Hop,Latin hip-hop
Hip Hop,Latin trap
Hip Hop,Lofi hip-hop
Hip Hop,Mafioso rap
Hip Hop,Memphis rap
Hip Hop,Miami bass
Hip Hop,Mumble rap
Hip Hop,Neo soul
Hip Hop,Nerdcore
Hip Hop,New jack swing
Hip Hop,Phonk
Hip Hop,Plugg
Hip Hop,Pluggnb
Hip Hop,Political hip-hop
Hip Hop,Pop rap
Hip Hop,Progressive rap
Hip Hop,Psychedelic rap
Hip Hop,Punk rap
Hip Hop,Rage
Hip Hop,Ragga hip-hop
Hip Hop,Rap metal
Hip Hop,Rap opera
Hip Hop,Rap rock
Hip Hop,Rapcore
Hip Hop,Religious hip-hop
Hip Hop,Road rap
Hip Hop,Sigilkore
Hip Hop,Slab music
Hip Hop,Snap music
Hip Hop,Southern hip-hop
Hip Hop,Trap metal
Hip Hop,Trap music
Hip Hop,Tread rap
Hip Hop,Trip hop
Hip Hop,Turntablism
Hip Hop,UK drill
Hip Hop,Underground hip-hop
Hip Hop,West Coast hip-hop
Jazz,Acid jazz
Jazz,Afro-Cuban jazz
Jazz,Alt-jazz
Jazz,Avant-garde jazz
Jazz,Bebop
Jazz,Big band
Jazz,Boogie-woogie
Jazz,Bossa nova
Jazz,Brazilian jazz
Jazz,British dance band
Jazz,Cape jazz
Jazz,Chamber jazz
Jazz,Continental jazz
Jazz,Cool jazz
Jazz,Crossover jazz
Jazz,Dixieland
Jazz,Ethno jazz
Jazz,European free jazz
Jazz,Free funk
Jazz,Free improvisation
Jazz,Free jazz
Jazz,Gypsy jazz
Jazz,Hard bop
Jazz,Jazz blues
Jazz,Jazz fusion
Jazz,Jazz rap
Jazz,Jazz rock
Jazz,Jazz-funk
Jazz,Jazztronica
Jazz,Kansas City jazz
Jazz,Latin jazz
Jazz,Livetronica
Jazz,M-base
Jazz,Mainstream jazz
Jazz,Modal jazz
Jazz,Neo-bop jazz
Jazz,Neo-swing
Jazz,Nu jazz
Jazz,Orchestral jazz
Jazz,Post-bop
Jazz,Progressive jazz
Jazz,Punk jazz
Jazz,Samba-jazz
Jazz,Shibuya-kei
Jazz,Ska jazz
Jazz,Smooth jazz
Jazz,Soul jazz
Jazz,Straight-ahead jazz
Jazz,Stride jazz
Jazz,Swing
Jazz,Third stream
Jazz,Trad jazz
Jazz,Vocal jazz
Jazz,West Coast jazz
Metal,Alternative metal
Metal,Atmospheric black metal
Metal,Atmospheric doom
Metal,Avant-garde black metal
Metal,Avant-garde metal
Metal,Black metal
Metal,Blackened death metal
Metal,Blackened deathcore
Metal,Blackened doom
Metal,Blackgaze
Metal,Brutal death metal
Metal,Celtic metal
Metal,Christian metal
Metal,Crossover thrash
Metal,Death 'n' roll
Metal,Death metal
Metal,Death-doom
Metal,Deathcore
Metal,Deathgrind
Metal,Depressive suicidal black metal
Metal,Djent
Metal,Doom metal
Metal,Drone doom
Metal,Drone metal
Metal,Extreme metal
Metal,Folk doom
Metal,Folk metal
Metal,Funeral doom
Metal,Funk metal
Metal,Glam metal
Metal,Gothic doom
Metal,Gothic metal
Metal,Grindcore
Metal,Groove metal
Metal,Industrial metal
Metal,Kawaii metal
Metal,Latin metal
Metal,Math metal
Metal,Mathcore
Metal,Medieval metal
Metal,Melodic black metal
Metal,Melodic death metal
Metal,Melodic metalcore
Metal,Metalcore
Metal,National Socialist black metal
Metal,Neoclassical metal
Metal,Neue Deutsche Härte
Metal,New wave of American heavy metal
Metal,New wave of British heavy metal
Metal,Nintendocore
Metal,Nu metal
Metal,Pagan metal
Metal,Pirate metal
Metal,Pop metal
Metal,Post-black metal
Metal,Post-metal
Metal,Power metal
Metal,Progressive metal
Metal,Progressive metalcore
Metal,Rap metal
Metal,Red and anarchist black metal
Metal,Slam death metal
Metal,Sludge doom
Metal,Sludge metal
Metal,Speed metal
Metal,Stoner-doom
Metal,Symphonic black metal
Metal,Symphonic doom
Metal,Symphonic metal
Metal,Technical death metal
Metal,Thrash metal
Metal,Unblack metal
Metal,Viking metal
Pop,Adult contemporary
Pop,Adult hits
Pop,Alternative pop
Pop,Ambient pop
Pop,Anime song
Pop,Arabic pop music
Pop,Art pop
Pop,Austropop
Pop,Avant-pop
Pop,Baroque pop
Pop,Beach music
Pop,Bedroom pop
Pop,Brill building
Pop,Britpop
Pop,Bubblegum pop
Pop,C-pop
Pop,Canción
Pop,Cantopop
Pop,Canzone
Pop,Chalga
Pop,Chamber pop
Pop,Chanson
Pop,Christian pop
Pop,City pop
Pop,Classic hits
Pop,Classical crossover
Pop,Contemporary hit radio
Pop,Country pop
Pop,Cringe pop
Pop,Dance-pop
Pop,Dark pop
Pop,Disco polo
Pop,Electropop
Pop,Emo pop
Pop,Eurobeat
Pop,Europop
Pop,Folk pop
Pop,French pop
Pop,Hokkien pop
Pop,Hyperpop
Pop,Indian pop
Pop,Indie pop
Pop,Iranian pop
Pop,Italo dance
Pop,Italo disco
Pop,J-pop
Pop,Jangle pop
Pop,Jazz pop
Pop,K-pop
Pop,Korean hip hop
Pop,Korean rock
Pop,Latin ballad
Pop,Latin pop
Pop,Laïkó
Pop,Mandopop
Pop,Mexican pop
Pop,Nederpop
Pop,Neomelodic music
Pop,Neon pop
Pop,New pop
Pop,New Romantic
Pop,Nordic popular music
Pop,Oldies
Pop,Operatic pop
Pop,OPM
Pop,Orchestral pop
Pop,Pinoy pop
Pop,Pop punk
Pop,Pop rap
Pop,Pop rock
Pop,Pop soul
Pop,Power pop
Pop,Progressive pop
Pop,Psychedelic pop
Pop,Rebetiko
Pop,Rhythmic adult contemporary
Pop,Rhythmic contemporary
Pop,Rhythmic oldies
Pop,Russian pop
Pop,Schlager
Pop,Shibuya-kei
Pop,Soft rock
Pop,Sophisti-pop
Pop,Space age pop
Pop,Sunshine pop
Pop,Surf pop
Pop,Swamp pop
Pop,Synth-pop
Pop,T'ong guitar
Pop,Teen pop
Pop,Traditional pop
Pop,Trot
Pop,Turbo-folk
Pop,Turkish pop
Pop,Twee pop
Pop,Urban adult contemporary
Pop,Urban contemporary music
Pop,Vispop
Pop,Wonky pop
Pop,Worldbeat
Pop,Yacht rock
Pop,Yé-yé
Punk,Afro-punk
Punk,Anarcho punk
Punk,Art punk
Punk,Avant punk
Punk,Bardcore
Punk,Beatdown hardcore
Punk,Celtic punk
Punk,Christian hardcore
Punk,Christian punk
Punk,Cowpunk
Punk,Crabcore
Punk,Crunkcore
Punk,Crust punk
Punk,Crustgrind
Punk,Cyberpunk
Punk,D-beat
Punk,Dance-punk
Punk,Deathrock
Punk,Digital hardcore
Punk,Dreampunk
Punk,Easycore
Punk,Egg punk
Punk,Electrogrind
Punk,Electronicore
Punk,Electropunk
Punk,Emo
Punk,Emo pop
Punk,Folk punk
Punk,Garage punk
Punk,German punk
Punk,Glam punk
Punk,Goregrind
Punk,Gothic punk
Punk,Grindcore
Punk,Gypsy punk
Punk,Hardcore punk
Punk,Horror punk
Punk,Krishnacore
Punk,Latino punk
Punk,Melodic hardcore
Punk,Nazi punk
Punk,Neon pop
Punk,Noisecore
Punk,Noisegrind
Punk,Oi!
Punk,Pop punk
Punk,Pornogrind
Punk,Positive hardcore
Punk,Post-hardcore
Punk,Post-punk
Punk,Post-punk revival
Punk,Powerviolence
Punk,Proto-punk
Punk,Psychobilly
Punk,Punk blues
Punk,Punk funk
Punk,Punk jazz
Punk,Punk pathetique
Punk,Punk rap
Punk,Punkabilly
Punk,Queercore
Punk,Reggae punk
Punk,Riot grrrl
Punk,Scottish Gaelic punk
Punk,Screamo
Punk,Ska punk
Punk,Skate punk
Punk,Street punk
Punk,Surf punk
Punk,Synth punk
Punk,Taqwacore
Punk,Trallpunk
R&B & Soul,Alternative R&B
R&B & Soul,Blue-eyed soul
R&B & Soul,Boogie
R&B & Soul,Brown-eyed soul
R&B & Soul,Cinematic soul
R&B & Soul,Contemporary R&B
R&B & Soul,Deep funk
R&B & Soul,Disco
R&B & Soul,Doo-wop
R&B & Soul,Freestyle
R&B & Soul,Funk
R&B & Soul,Go-go
R&B & Soul,Gospel music
R&B & Soul,Hip hop soul
R&B & Soul,Minneapolis Sound
R&B & Soul,Neo soul
R&B & Soul,New jack swing
R&B & Soul,Northern soul
R&B & Soul,Post-disco
R&B & Soul,Progressive soul
R&B & Soul,Psychedelic funk
R&B & Soul,Psychedelic soul
R&B & Soul,Quiet storm
R&B & Soul,Rhythm and blues
R&B & Soul,Soul
R&B & Soul,Southern gospel
R&B & Soul,Southern soul
R&B & Soul,Synth-funk
R&B & Soul,Urban contemporary gospel
Regional,African heavy metal
Regional,African hip hop
Regional,African popular music
Regional,Afro house
Regional,Afro pop
Regional,Afro tech
Regional,Afro-Cuban jazz
Regional,Afrobeat
Regional,Afrobeats
Regional,Alegrías
Regional,Alternative reggaeton
Regional,Amapiano
Regional,American rock
Regional,Anime song
Regional,Apala
Regional,Arabesque
Regional,Arabic music
Regional,Arabic pop music
Regional,Asian Underground
Regional,Australian folk music
Regional,Australian hip hop
Regional,Axé
Regional,Bachata
Regional,Baila
Regional,Baithak Gana
Regional,Bal-musette
Regional,Balkan brass
Regional,Balkan folk music
Regional,Balkan music
Regional,Banda
Regional,Baul
Regional,Belgian hardcore techno
Regional,Belgian hip-hop
Regional,Belgian jazz
Regional,Belgian rock
Regional,Benga
Regional,Bhangra
Regional,Bhawaiya
Regional,Bikutsi
Regional,Bolero
Regional,Bongo flava
Regional,Boogaloo
Regional,Boomba
Regional,Bossa nova
Regional,Bouyon
Regional,Brazilian rock
Regional,Brega
Regional,Britpop
Regional,Bubu music
Regional,Bulerías
Regional,Bullerengue
Regional,C-pop
Regional,Cadence-lypso
Regional,Cakewalk
Regional,Calypso
Regional,Canadian folk music
Regional,Cantes de ida y vuelta
Regional,Cantopop
Regional,Cape jazz
Regional,Carnatic
Regional,Celtic music
Regional,Central Asian
Regional,Cha-cha-chá
Regional,Chaabi
Regional,Chalga
Regional,Chanson réaliste
Regional,Chaoui music
Regional,Chicha
Regional,Chimurenga
Regional,Chinese folk music
Regional,Chinese hip hop
Regional,Chinese rock
Regional,Chirigota
Regional,Choro
Regional,Chula
Regional,Chutney
Regional,Chutney parang
Regional,Chutney soca
Regional,Classic rag
Regional,Coimbra fado
Regional,Compas
Regional,Congolese rumba
Regional,Copla
Regional,Coupé-Décalé
Regional,Criolla
Regional,Cumbia
Regional,Cuplé
Regional,Dancehall
Regional,Dangdut
Regional,Danish traditional music
Regional,Dappankuthu
Regional,Dengbêj
Regional,Desgarrada
Regional,Dohori
Regional,Dub
Regional,English folk music
Regional,Enka
Regional,Ensalada
Regional,Fado
Regional,Fandango
Regional,Fann at-Tanbura
Regional,Farruca
Regional,Fijiri
Regional,Filmi
Regional,Flamenco
Regional,Folk ragtime
Regional,Forró
Regional,French classical music
Regional,French electronic music
Regional,French folk music
Regional,French hip-hop
Regional,French house
Regional,French jazz
Regional,French pop music
Regional,Frevo
Regional,Fuji music
Regional,Funk carioca
Regional,Gamelan
Regional,Garrotín
Regional,Genge
Regional,Gnawa
Regional,Gqom
Regional,Grupera
Regional,Guajira
Regional,Gumbe
Regional,Gypsy music
Regional,Hayran
Regional,Highlife
Regional,Hindustani classical
Regional,Hiplife
Regional,Hispanic rhythmic
Regional,Hokkien pop
Regional,Hong Kong English pop
Regional,Hong Kong hip hop
Regional,Honky-tonk piano
Regional,Igbo highlife
Regional,Igbo rap
Regional,Ikorodo
Regional,Ikwokirikwo
Regional,Indian classical
Regional,Indian jazz
Regional,Indian pop
Regional,Indian rock
Regional,Indigenous music of Australia
Regional,Indigenous music of Canada
Regional,Indigenous music of North America
Regional,Indo pop
Regional,Inuit music
Regional,Isicathamiya
Regional,Italian classical music
Regional,Italian folk music
Regional,Italian hip-hop
Regional,Italian jazz
Regional,Italian popular music
Regional,J-pop
Regional,Japanese hip hop
Regional,Japanese jazz
Regional,Japanese rock
Regional,Jenkka
Regional,Jit
Regional,Jota
Regional,Jùjú
Regional,K-pop
Regional,Kadongo Kamu
Regional,Kapa haka
Regional,Kayōkyoku
Regional,Kazakh folk music
Regional,Keroncong
Regional,Khaliji
Regional,Kizomba
Regional,Klezmer
Regional,Korean folk music
Regional,Korean hip hop
Regional,Korean rock
Regional,Kuduro
Regional,Kurdish folk
Regional,Kurdish maqam
Regional,Kwaito
Regional,Kwassa kwassa
Regional,Kwela
Regional,Kyrgyz folk music
Regional,L-pop
Regional,Lambada
Regional,Latin alternative
Regional,Latin ballad
Regional,Latin Christian
Regional,Latin jazz
Regional,Latin pop
Regional,Latin rock
Regional,Latin trap
Regional,Lavani
Regional,Lingala music
Regional,Lithuanian folk music
Regional,Liwa
Regional,Lovers rock
Regional,Luk krung
Regional,Luk thung
Regional,Ma'luf
Regional,Makossa
Regional,Malaysian hip hop
Regional,Malaysian pop
Regional,Malaysian rock
Regional,Maloya
Regional,Mambo
Regional,Mandopop
Regional,Manele
Regional,Manila sound
Regional,Marabi
Regional,Maracatu
Regional,Mariachi
Regional,Marrabenta
Regional,Martinetes
Regional,Maskandi
Regional,Mbalax
Regional,Mbaqanga
Regional,Mbube
Regional,Mento
Regional,Merengue
Regional,Mongolian folk music
Regional,Moombahton
Regional,Mor lam
Regional,Morlam
Regional,Morna
Regional,Mozambique
Regional,Muiñeira
Regional,Music of Alaska
Regional,Music of Albania
Regional,Music of Andorra
Regional,Music of Armenia
Regional,Music of Austria
Regional,Music of Azerbaijan
Regional,Music of Belarus
Regional,Music of Belgium
Regional,Music of Bosnia and Herzegovina
Regional,Music of Bulgaria
Regional,Music of Buryatia
Regional,Music of Croatia
Regional,Music of Cyprus
Regional,Music of Denmark
Regional,Music of Egypt
Regional,Music of Estonia
Regional,Music of Finland
Regional,Music of France
Regional,Music of Georgia
Regional,Music of Germany
Regional,Music of Greece
Regional,Music of Greenland
Regional,Music of Hawaii
Regional,Music of Hungary
Regional,Music of Iceland
Regional,Music of Ireland
Regional,Music of Israel
Regional,Music of Italy
Regional,Music of Kosovo
Regional,Music of Latvia
Regional,Music of Liechtenstein
Regional,Music of Luxembourg
Regional,Music of Malta
Regional,Music of Moldova
Regional,Music of Monaco
Regional,Music of Montenegro
Regional,Music of New Zealand
Regional,Music of Nigeria
Regional,Music of North Macedonia
Regional,Music of Norway
Regional,Music of Poland
Regional,Music of Polynesia
Regional,Music of Portugal
Regional,Music of Romania
Regional,Music of Russia
Regional,Music of Samoa
Regional,Music of Scotland
